,CALENDAR_DATE,YEAR,MONTH_OF_THE_YEAR,DAY_OF_THE_MONTH,WEEK_OF_THE_YEAR,YEAR_QUARTER
0,1999-01-01,1999,1,1,53,1
1,1999-01-02,1999,1,2,53,1
2,1999-01-03,1999,1,3,53,1
3,1999-01-04,1999,1,4,1,1
4,1999-01-05,1999,1,5,1,1
5,1999-01-06,1999,1,6,1,1
6,1999-01-07,1999,1,7,1,1
7,1999-01-08,1999,1,8,1,1
8,1999-01-09,1999,1,9,1,1
9,1999-01-10,1999,1,10,1,1
10,1999-01-11,1999,1,11,2,1
11,1999-01-12,1999,1,12,2,1
12,1999-01-13,1999,1,13,2,1
13,1999-01-14,1999,1,14,2,1
14,1999-01-15,1999,1,15,2,1
15,1999-01-16,1999,1,16,2,1
16,1999-01-17,1999,1,17,2,1
17,1999-01-18,1999,1,18,3,1
18,1999-01-19,1999,1,19,3,1
19,1999-01-20,1999,1,20,3,1
20,1999-01-21,1999,1,21,3,1
21,1999-01-22,1999,1,22,3,1
22,1999-01-23,1999,1,23,3,1
23,1999-01-24,1999,1,24,3,1
24,1999-01-25,1999,1,25,4,1
25,1999-01-26,1999,1,26,4,1
26,1999-01-27,1999,1,27,4,1
27,1999-01-28,1999,1,28,4,1
28,1999-01-29,1999,1,29,4,1
29,1999-01-30,1999,1,30,4,1
30,1999-01-31,1999,1,31,4,1
31,1999-02-01,1999,2,1,5,1
32,1999-02-02,1999,2,2,5,1
33,1999-02-03,1999,2,3,5,1
34,1999-02-04,1999,2,4,5,1
35,1999-02-05,1999,2,5,5,1
36,1999-02-06,1999,2,6,5,1
37,1999-02-07,1999,2,7,5,1
38,1999-02-08,1999,2,8,6,1
39,1999-02-09,1999,2,9,6,1
40,1999-02-10,1999,2,10,6,1
41,1999-02-11,1999,2,11,6,1
42,1999-02-12,1999,2,12,6,1
43,1999-02-13,1999,2,13,6,1
44,1999-02-14,1999,2,14,6,1
45,1999-02-15,1999,2,15,7,1
46,1999-02-16,1999,2,16,7,1
47,1999-02-17,1999,2,17,7,1
48,1999-02-18,1999,2,18,7,1
49,1999-02-19,1999,2,19,7,1
50,1999-02-20,1999,2,20,7,1
51,1999-02-21,1999,2,21,7,1
52,1999-02-22,1999,2,22,8,1
53,1999-02-23,1999,2,23,8,1
54,1999-02-24,1999,2,24,8,1
55,1999-02-25,1999,2,25,8,1
56,1999-02-26,1999,2,26,8,1
57,1999-02-27,1999,2,27,8,1
58,1999-02-28,1999,2,28,8,1
59,1999-03-01,1999,3,1,9,1
60,1999-03-02,1999,3,2,9,1
61,1999-03-03,1999,3,3,9,1
62,1999-03-04,1999,3,4,9,1
63,1999-03-05,1999,3,5,9,1
64,1999-03-06,1999,3,6,9,1
65,1999-03-07,1999,3,7,9,1
66,1999-03-08,1999,3,8,10,1
67,1999-03-09,1999,3,9,10,1
68,1999-03-10,1999,3,10,10,1
69,1999-03-11,1999,3,11,10,1
70,1999-03-12,1999,3,12,10,1
71,1999-03-13,1999,3,13,10,1
72,1999-03-14,1999,3,14,10,1
73,1999-03-15,1999,3,15,11,1
74,1999-03-16,1999,3,16,11,1
75,1999-03-17,1999,3,17,11,1
76,1999-03-18,1999,3,18,11,1
77,1999-03-19,1999,3,19,11,1
78,1999-03-20,1999,3,20,11,1
79,1999-03-21,1999,3,21,11,1
80,1999-03-22,1999,3,22,12,1
81,1999-03-23,1999,3,23,12,1
